Designator,Mid X,Mid Y,Rotation,Layer
DL73,355.3125,-148.0,0.0,top
DL74,62.41875,-167.05,0.0,top
DL75,86.23125,-167.05,0.0,top
DL76,110.04375,-167.05,0.0,top
DL77,181.48125,-167.05,0.0,top
DL78,250.5375,-167.05,0.0,top
DL79,269.5875,-167.05,0.0,top
DL8,193.3875,-71.8,0.0,top
DL80,288.6375,-167.05,0.0,top
DL81,312.45,-167.05,0.0,top
DL82,331.5,-167.05,0.0,top
DL83,350.55,-167.05,0.0,top
DL9,212.4375,-71.8,0.0,top
EN1,346.9375,-65.37,90.0,top
J1,374.6675,-119.62,0.0,top
SW1,60.0375,-66.72,0.0,bottom
SW10,231.4875,-66.72,0.0,bottom
SW11,250.5375,-66.72,0.0,bottom
SW12,269.5875,-66.72,0.0,bottom
SW13,288.6375,-66.72,0.0,bottom
SW14,307.6875,-66.72,0.0,bottom
SW15,326.7375,-66.72,0.0,bottom
SW16,60.0375,-85.77,0.0,bottom
SW17,79.0875,-85.77,0.0,bottom
SW18,98.1375,-85.77,0.0,bottom
SW19,117.1875,-85.77,0.0,bottom
SW2,79.0875,-66.72,0.0,bottom
SW20,136.2375,-85.77,0.0,bottom
SW21,155.2875,-85.77,0.0,bottom
SW22,174.3375,-85.77,0.0,bottom
SW23,193.3875,-85.77,0.0,bottom
SW24,212.4375,-85.77,0.0,bottom
SW25,231.4875,-85.77,0.0,bottom
SW26,250.5375,-85.77,0.0,bottom
SW27,269.5875,-85.77,0.0,bottom
SW28,288.6375,-85.77,0.0,bottom
SW29,317.2125,-85.77,0.0,bottom
SW3,98.1375,-66.72,0.0,bottom
SW30,345.7875,-85.77,0.0,bottom
SW31,64.8,-104.82,0.0,bottom
SW32,88.6125,-104.82,0.0,bottom
SW33,107.6625,-104.82,0.0,bottom
SW34,126.7125,-104.82,0.0,bottom
SW35,145.7625,-104.82,0.0,bottom
SW36,164.8125,-104.82,0.0,bottom
SW37,183.8625,-104.82,0.0,bottom
SW38,202.9125,-104.82,0.0,bottom
SW39,221.9625,-104.82,0.0,bottom
SW4,117.1875,-66.72,0.0,bottom
SW40,241.0125,-104.82,0.0,bottom
SW41,260.0625,-104.82,0.0,bottom
SW42,279.1125,-104.82,0.0,bottom
SW43,298.1625,-104.82,0.0,bottom
SW44,321.975,-104.82,0.0,bottom
SW45,345.7875,-104.82,0.0,bottom
SW46,67.18125,-123.87,0.0,bottom
SW47,93.375,-123.87,0.0,bottom
SW48,112.425,-123.87,0.0,bottom
SW49,131.475,-123.87,0.0,bottom
SW5,136.2375,-66.72,0.0,bottom
SW50,150.3575,-123.7,0.0,bottom
SW51,169.575,-123.87,0.0,bottom
SW52,188.625,-123.87,0.0,bottom
SW53,207.675,-123.87,0.0,bottom
SW54,226.725,-123.87,0.0,bottom
SW55,245.775,-123.87,0.0,bottom
SW56,264.825,-123.87,0.0,bottom
SW57,283.875,-123.87,0.0,bottom
SW58,314.83125,-123.87,0.0,bottom
SW59,345.7875,-123.87,0.0,bottom
SW6,155.2875,-66.72,0.0,bottom
SW60,71.94375,-142.92,0.0,bottom
SW61,102.9,-142.92,0.0,bottom
SW62,121.95,-142.92,0.0,bottom
SW63,141.0,-142.92,0.0,bottom
SW64,160.05,-142.92,0.0,bottom
SW65,179.3575,-142.62,0.0,bottom
SW66,198.15,-142.92,0.0,bottom
SW67,217.2,-142.92,0.0,bottom
SW68,236.25,-142.92,0.0,bottom
SW69,255.3,-142.92,0.0,bottom
SW7,174.3375,-66.72,0.0,bottom
SW70,274.35,-142.92,0.0,bottom
SW71,300.54375,-142.92,0.0,bottom
